,player_type,count,skull_threshold
3,"smart 2: 2, 0.6",320,0.7373737373737375
0,approx q learning,292,0.7474747474747475
1,"smart 2: 0, 0.4",148,0.7474747474747475
2,"smart 2: 0, 0.6",253,0.7474747474747475
3,"smart 2: 2, 0.6",307,0.7474747474747475
0,approx q learning,269,0.7575757575757577
1,"smart 2: 0, 0.4",178,0.7575757575757577
2,"smart 2: 0, 0.6",238,0.7575757575757577
3,"smart 2: 2, 0.6",315,0.7575757575757577
0,approx q learning,270,0.7676767676767677
1,"smart 2: 0, 0.4",172,0.7676767676767677
2,"smart 2: 0, 0.6",251,0.7676767676767677
3,"smart 2: 2, 0.6",307,0.7676767676767677
0,approx q learning,267,0.7777777777777778
1,"smart 2: 0, 0.4",164,0.7777777777777778
2,"smart 2: 0, 0.6",270,0.7777777777777778
3,"smart 2: 2, 0.6",299,0.7777777777777778
0,approx q learning,32,0.787878787878788
1,"smart 2: 0, 0.4",251,0.787878787878788
2,"smart 2: 0, 0.6",354,0.787878787878788
3,"smart 2: 2, 0.6",363,0.787878787878788
0,approx q learning,266,0.797979797979798
1,"smart 2: 0, 0.4",176,0.797979797979798
2,"smart 2: 0, 0.6",259,0.797979797979798
3,"smart 2: 2, 0.6",299,0.797979797979798
0,approx q learning,238,0.8080808080808082
1,"smart 2: 0, 0.4",163,0.8080808080808082
2,"smart 2: 0, 0.6",272,0.8080808080808082
3,"smart 2: 2, 0.6",327,0.8080808080808082
0,approx q learning,245,0.8181818181818182
1,"smart 2: 0, 0.4",177,0.8181818181818182
2,"smart 2: 0, 0.6",252,0.8181818181818182
3,"smart 2: 2, 0.6",326,0.8181818181818182
0,approx q learning,244,0.8282828282828284
1,"smart 2: 0, 0.4",193,0.8282828282828284
2,"smart 2: 0, 0.6",272,0.8282828282828284
3,"smart 2: 2, 0.6",291,0.8282828282828284
0,approx q learning,219,0.8383838383838385
1,"smart 2: 0, 0.4",195,0.8383838383838385
2,"smart 2: 0, 0.6",276,0.8383838383838385
3,"smart 2: 2, 0.6",310,0.8383838383838385
0,approx q learning,230,0.8484848484848485
1,"smart 2: 0, 0.4",207,0.8484848484848485
2,"smart 2: 0, 0.6",264,0.8484848484848485
3,"smart 2: 2, 0.6",299,0.8484848484848485
0,approx q learning,195,0.8585858585858587
1,"smart 2: 0, 0.4",178,0.8585858585858587
2,"smart 2: 0, 0.6",281,0.8585858585858587
3,"smart 2: 2, 0.6",346,0.8585858585858587
0,approx q learning,205,0.8686868686868687
1,"smart 2: 0, 0.4",199,0.8686868686868687
2,"smart 2: 0, 0.6",251,0.8686868686868687
3,"smart 2: 2, 0.6",345,0.8686868686868687
0,approx q learning,223,0.8787878787878789
1,"smart 2: 0, 0.4",211,0.8787878787878789
2,"smart 2: 0, 0.6",245,0.8787878787878789
3,"smart 2: 2, 0.6",321,0.8787878787878789
0,approx q learning,221,0.888888888888889
1,"smart 2: 0, 0.4",166,0.888888888888889
