,player_type,player,result
679,nice,0,win via score
680,rand,2,win via score
681,nice,0,win via score
682,nice,0,win via score
683,rand,2,win via score
684,rand,3,win via score
685,nice,0,win via score
686,rand,2,win via score
687,rand,3,win via score
688,nice,0,win via score
689,rand,2,win via score
690,nice,0,win via score
691,nice,0,win via score
692,rand,2,win via score
693,nice,0,win via score
694,nice,0,win via score
695,rand,2,win via score
696,nice,0,win via score
697,nice,0,win via score
698,nice,0,win via score
699,rand,3,win via score
700,rand,3,win via score
701,rand,3,win via score
702,nice,0,win via score
703,nice,0,win via score
704,rand,2,win via score
705,mean,1,win via elim
706,nice,0,win via score
707,rand,3,win via score
708,nice,0,win via score
709,nice,0,win via score
710,rand,3,win via score
711,nice,0,win via score
712,rand,3,win via score
713,rand,2,win via score
714,rand,3,win via score
715,nice,0,win via score
716,rand,3,win via score
717,nice,0,win via score
718,nice,0,win via score
719,nice,0,win via score
720,rand,2,win via score
721,nice,0,win via score
722,rand,3,win via score
723,nice,0,win via score
724,rand,2,win via score
725,nice,0,win via score
726,rand,3,win via score
727,nice,0,win via score
728,rand,3,win via score
729,rand,2,win via score
730,rand,2,win via score
731,nice,0,win via score
732,nice,0,win via score
733,nice,0,win via score
734,nice,0,win via score
735,nice,0,win via score
736,rand,2,win via score
737,rand,2,win via score
738,nice,0,win via score
739,rand,3,win via score
740,nice,0,win via score
741,rand,2,win via score
742,nice,0,win via score
743,nice,0,win via score
744,rand,3,win via score
745,nice,0,win via score
746,rand,2,win via score
747,mean,1,win via elim
748,rand,2,win via score
749,rand,2,win via score
750,rand,2,win via score
751,nice,0,win via score
752,rand,2,win via score
753,nice,0,win via score
754,nice,0,win via score
755,nice,0,win via score
756,nice,0,win via score
757,rand,3,win via score
758,rand,3,win via score
759,rand,3,win via score
760,nice,0,win via score
761,rand,3,win via score
762,nice,0,win via score
763,rand,2,win via score
764,rand,3,win via score
765,nice,0,win via score
766,rand,3,win via score
767,nice,0,win via score
768,nice,0,win via score
769,nice,0,win via score
770,nice,0,win via score
771,rand,3,win via score
772,nice,0,win via score
773,nice,0,win via score
774,rand,2,win via score
775,nice,0,win via score
776,nice,0,win via score
777,nice,0,win via score
778,rand,2,win via score
779,nice,0,win via score
780,rand,3,win via score
781,nice,0,win via score
782,nice,0,win via score
783,rand,2,win via score
784,rand,2,win via score
785,nice,0,win via score
786,nice,0,win via score
787,nice,0,win via score
788,rand,3,win via score
789,nice,0,win via score
790,nice,0,win via score
791,nice,0,win via score
792,nice,0,win via score
793,rand,2,win via score
794,nice,0,win via score
795,rand,3,win via score
796,rand,3,win via score
797,rand,2,win via score
798,rand,3,win via score
799,rand,3,win via score
800,nice,0,win via score
801,nice,0,win via score
802,rand,2,win via score
803,nice,0,win via score
804,nice,0,win via score
805,rand,2,win via score
806,rand,3,win via score
807,rand,2,win via score
808,rand,2,win via score
809,rand,2,win via score
810,nice,0,win via score
811,rand,2,win via score
812,nice,0,win via score
813,rand,2,win via score
814,rand,3,win via score
815,rand,3,win via score
816,nice,0,win via score
817,nice,0,win via score
818,rand,2,win via score
819,nice,0,win via score
820,nice,0,win via score
821,nice,0,win via score
822,rand,2,win via score
823,nice,0,win via score
824,rand,2,win via score
825,rand,3,win via score
826,nice,0,win via score
827,nice,0,win via score
828,rand,3,win via score
829,rand,2,win via score
830,nice,0,win via score
831,nice,0,win via score
832,rand,3,win via score
