,player_type,player,result
273,"smart: 0.5, 0.6",3,win via score
274,"smart: 0.5, 0.6",3,win via score
275,"smart: 0.5, 0.6",0,win via score
276,"smart: 0.5, 0.6",2,win via score
277,"smart: 0.5, 0.6",0,win via score
278,"smart: 0.5, 0.6",1,win via score
279,"smart: 0.5, 0.6",2,win via score
280,"smart: 0.5, 0.6",1,win via elim
281,"smart: 0.5, 0.6",3,win via score
282,"smart: 0.5, 0.6",3,win via score
283,"smart: 0.5, 0.6",0,win via score
284,"smart: 0.5, 0.6",1,win via elim
285,"smart: 0.5, 0.6",0,win via score
286,"smart: 0.5, 0.6",2,win via score
287,"smart: 0.5, 0.6",1,win via score
288,"smart: 0.5, 0.6",3,win via score
289,"smart: 0.5, 0.6",3,win via score
290,"smart: 0.5, 0.6",2,win via score
291,"smart: 0.5, 0.6",3,win via score
292,"smart: 0.5, 0.6",3,win via score
293,"smart: 0.5, 0.6",0,win via score
294,"smart: 0.5, 0.6",1,win via score
295,"smart: 0.5, 0.6",1,win via score
296,"smart: 0.5, 0.6",1,win via score
297,"smart: 0.5, 0.6",3,win via score
298,"smart: 0.5, 0.6",1,win via score
299,"smart: 0.5, 0.6",0,win via score
300,"smart: 0.5, 0.6",0,win via score
301,"smart: 0.5, 0.6",1,win via score
302,"smart: 0.5, 0.6",1,win via score
303,"smart: 0.5, 0.6",3,win via score
304,"smart: 0.5, 0.6",2,win via score
305,"smart: 0.5, 0.6",2,win via score
306,"smart: 0.5, 0.6",0,win via score
307,"smart: 0.5, 0.6",3,win via score
308,"smart: 0.5, 0.6",0,win via score
309,"smart: 0.5, 0.6",1,win via score
310,"smart: 0.5, 0.6",3,win via score
311,"smart: 0.5, 0.6",2,win via score
312,"smart: 0.5, 0.6",2,win via elim
313,"smart: 0.5, 0.6",1,win via score
314,"smart: 0.5, 0.6",2,win via score
315,"smart: 0.5, 0.6",1,win via score
316,"smart: 0.5, 0.6",3,win via score
317,"smart: 0.5, 0.6",0,win via score
318,"smart: 0.5, 0.6",0,win via score
319,"smart: 0.5, 0.6",0,win via score
320,"smart: 0.5, 0.6",2,win via score
321,"smart: 0.5, 0.6",2,win via score
322,"smart: 0.5, 0.6",3,win via score
323,"smart: 0.5, 0.6",1,win via score
324,"smart: 0.5, 0.6",3,win via score
325,"smart: 0.5, 0.6",3,win via score
326,"smart: 0.5, 0.6",0,win via score
327,"smart: 0.5, 0.6",3,win via score
328,"smart: 0.5, 0.6",0,win via score
329,"smart: 0.5, 0.6",0,win via score
330,"smart: 0.5, 0.6",2,win via score
331,"smart: 0.5, 0.6",0,win via score
332,"smart: 0.5, 0.6",3,win via score
333,"smart: 0.5, 0.6",2,win via score
334,"smart: 0.5, 0.6",2,win via score
335,"smart: 0.5, 0.6",0,win via score
336,"smart: 0.5, 0.6",2,win via elim
337,"smart: 0.5, 0.6",0,win via elim
338,"smart: 0.5, 0.6",3,win via score
339,"smart: 0.5, 0.6",3,win via elim
340,"smart: 0.5, 0.6",1,win via score
341,"smart: 0.5, 0.6",3,win via score
342,"smart: 0.5, 0.6",2,win via score
343,"smart: 0.5, 0.6",0,win via score
344,"smart: 0.5, 0.6",2,win via score
345,"smart: 0.5, 0.6",3,win via score
346,"smart: 0.5, 0.6",2,win via score
347,"smart: 0.5, 0.6",2,win via score
348,"smart: 0.5, 0.6",3,win via score
349,"smart: 0.5, 0.6",3,win via score
350,"smart: 0.5, 0.6",0,win via score
351,"smart: 0.5, 0.6",3,win via score
352,"smart: 0.5, 0.6",2,win via score
353,"smart: 0.5, 0.6",1,win via score
354,"smart: 0.5, 0.6",1,win via score
355,"smart: 0.5, 0.6",1,win via score
356,"smart: 0.5, 0.6",0,win via score
357,"smart: 0.5, 0.6",1,win via score
358,"smart: 0.5, 0.6",2,win via score
359,"smart: 0.5, 0.6",0,win via score
360,"smart: 0.5, 0.6",2,win via score
361,"smart: 0.5, 0.6",0,win via score
362,"smart: 0.5, 0.6",0,win via score
363,"smart: 0.5, 0.6",3,win via score
364,"smart: 0.5, 0.6",0,win via score
365,"smart: 0.5, 0.6",2,win via score
366,"smart: 0.5, 0.6",0,win via score
367,"smart: 0.5, 0.6",2,win via score
368,"smart: 0.5, 0.6",1,win via score
369,"smart: 0.5, 0.6",3,win via score
370,"smart: 0.5, 0.6",2,win via score
371,"smart: 0.5, 0.6",3,win via score
