,player,result
717,2,win via score
718,3,win via score
719,1,win via score
720,0,win via score
721,2,win via score
722,0,win via score
723,3,win via score
724,0,win via score
725,1,win via score
726,1,win via score
727,2,win via score
728,0,win via score
729,1,win via score
730,1,win via score
731,1,win via score
732,2,win via score
733,1,win via elim
734,2,win via score
735,0,win via score
736,1,win via score
737,3,win via score
738,2,win via score
739,1,win via score
740,3,win via score
741,1,win via score
742,3,win via score
743,3,win via score
744,2,win via score
745,2,win via score
746,2,win via elim
747,2,win via score
748,2,win via score
749,1,win via score
750,1,win via score
751,1,win via score
752,1,win via score
753,2,win via score
754,1,win via score
755,1,win via score
756,1,win via score
757,0,win via score
758,3,win via score
759,3,win via score
760,3,win via score
761,1,win via score
762,2,win via score
763,1,win via score
764,1,win via score
765,3,win via score
766,2,win via score
767,3,win via score
768,1,win via score
769,2,win via score
770,3,win via score
771,1,win via score
772,2,win via score
773,2,win via score
774,2,win via score
775,0,win via score
776,0,win via score
777,2,win via score
778,1,win via score
779,1,win via score
780,2,win via score
781,0,win via elim
782,2,win via score
783,2,win via score
784,3,win via score
785,2,win via score
786,2,win via score
787,2,win via score
788,0,win via score
789,3,win via elim
790,3,win via score
791,2,win via score
792,1,win via score
793,2,win via score
794,0,win via score
795,2,win via score
796,2,win via score
797,1,win via score
798,0,win via score
799,0,win via score
800,2,win via score
801,3,win via elim
802,3,win via score
803,2,win via score
804,0,win via score
805,3,win via score
806,1,win via score
807,0,win via score
808,0,win via score
809,3,win via score
810,2,win via score
811,0,win via score
812,3,win via elim
813,3,win via score
814,0,win via score
815,1,win via score
816,1,win via score
817,1,win via score
818,3,win via score
819,0,win via score
820,3,win via score
821,1,win via score
822,2,win via score
823,1,win via score
824,0,win via score
825,1,win via score
826,3,win via score
827,1,win via score
828,3,win via score
829,3,win via score
830,1,win via score
831,2,win via score
832,1,win via score
833,2,win via score
834,1,win via score
835,2,win via score
836,1,win via score
837,3,win via score
838,0,win via score
839,3,win via score
840,3,win via score
841,0,win via score
842,2,win via score
843,2,win via score
844,2,win via score
845,0,win via score
846,2,win via score
847,0,win via score
848,0,win via score
849,3,win via score
850,2,win via score
851,1,win via score
852,0,win via score
853,0,win via score
854,1,win via score
855,3,win via score
856,0,win via score
857,0,win via score
858,1,win via elim
859,2,win via score
860,1,win via score
861,1,win via score
862,1,win via score
863,1,win via score
864,3,win via score
865,3,win via score
866,1,win via score
867,2,win via score
868,1,win via score
869,0,win via score
870,3,win via score
871,2,win via score
872,1,win via score
873,1,win via score
874,1,win via score
875,2,win via score
876,2,win via score
877,1,win via score
878,2,win via score
879,3,win via score
880,1,win via score
881,1,win via score
882,0,win via score
883,0,win via score
884,0,win via score
885,0,win via score
886,3,win via score
887,0,win via score
888,0,win via score
889,3,win via score
890,3,win via score
891,2,win via score
892,1,win via score
893,3,win via score
894,2,win via score
895,3,win via score
896,0,win via score
