,eps_num,w_diff,result
355,355.0,2.7655179875781e+128,other player skull
356,356.0,2.680428865009467e+129,other player skull
357,357.0,8.078396031956369e+129,attempt loss
358,358.0,6.511810518961888e+130,attempt loss
359,359.0,2.278364535258047e+130,other player skull
360,360.0,1.3977106034459188e+131,other player skull
361,361.0,2.7132600958878245e+131,attempt loss
362,362.0,6.698171698135615e+131,other player no skull
363,363.0,2.444927923644115e+130,0.0
364,364.0,1.2676665681861087e+132,other player no skull
365,365.0,1.0775165829581924e+133,other player no skull
366,366.0,5.2713383829315634e+132,attempt loss
367,367.0,5.422353292344175e+133,other player no skull
368,368.0,1.3746343924279417e+133,0.0
369,369.0,1.0931837535709013e+133,other player no skull
370,370.0,3.07172516175565e+133,other player no skull
371,371.0,3.534767252149006e+133,0.0
372,372.0,3.482885360243198e+133,other player no skull
373,373.0,1.008220888253824e+134,other player no skull
374,374.0,2.1526320235840766e+134,attempt won
375,375.0,7.534212082544268e+134,attempt won
376,376.0,5.503964847209732e+135,other player skull
377,377.0,2.504346859786216e+136,other player skull
378,378.0,4.905213043342176e+135,attempt loss
379,379.0,1.646992271598676e+136,0.0
380,380.0,7.391091873863962e+137,attempt loss
381,381.0,1.5633218623811777e+137,other player no skull
382,382.0,9.444332143368473e+137,other player no skull
383,383.0,6.969212862694778e+138,attempt loss
384,384.0,4.2818229759865487e+139,attempt won
385,385.0,1.0822737887141583e+137,0.0
386,386.0,8.496008620253121e+138,other player no skull
387,387.0,7.221607327215153e+139,other player no skull
388,388.0,2.569093785591929e+140,other player no skull
389,389.0,2.231222809132567e+140,0.0
390,390.0,4.087835121103931e+141,other player no skull
391,391.0,6.138366228132879e+140,other player no skull
392,392.0,1.2945136199125638e+142,other player skull
393,393.0,1.665255556364862e+142,other player no skull
394,394.0,1.438509563220075e+140,0.0
395,395.0,1.1810070080234928e+143,attempt loss
396,396.0,1.1834959787955905e+143,other player no skull
397,397.0,1.6067215187588943e+144,other player skull
398,398.0,9.548039204809398e+143,attempt loss
399,399.0,5.875489303179652e+144,other player skull
400,400.0,1.3990095926440096e+145,other player no skull
401,401.0,1.9921501368949715e+146,other player no skull
