,player type,player,result
336,"smart 2: 0, 0.6",3,self lose challange
337,"smart 2: 2, 0.6",2,self lose challange
338,"smart 2: 0, 0.6",3,turned flower
339,"smart 2: 0, 0.6",3,turned flower
340,"smart 2: 0, 0.6",3,win challange
341,"smart 2: 2, 0.6",2,self lose challange
342,"smart 2: 0, 0.6",3,turned flower
343,"smart 2: 0, 0.6",3,lose game
344,"smart 2: 2, 0.6",2,turned flower
345,"smart 2: 2, 0.6",2,win challange
346,"smart 2: 2, 0.6",2,win challange
347,approx q learning,0,turned flower
348,approx q learning,0,self lose challange
349,"smart 2: 2, 0.6",2,self lose challange
350,approx q learning,0,self lose challange
351,approx q learning,0,self lose challange
352,"smart 2: 0, 0.4",1,self lose challange
353,approx q learning,0,turned flower
354,approx q learning,0,turned flower
355,approx q learning,0,lose game
356,"smart 2: 2, 0.6",2,turned flower
357,"smart 2: 2, 0.6",2,self lose challange
358,"smart 2: 0, 0.6",3,self lose challange
359,"smart 2: 0, 0.4",1,turned flower
360,"smart 2: 0, 0.4",1,turned flower
361,"smart 2: 0, 0.4",1,win challange
362,"smart 2: 2, 0.6",2,turned flower
363,"smart 2: 2, 0.6",2,turned flower
364,"smart 2: 2, 0.6",2,lose challange
365,"smart 2: 0, 0.4",1,turned flower
366,"smart 2: 0, 0.4",1,lose challange
367,"smart 2: 2, 0.6",2,self lose game
368,"smart 2: 0, 0.6",3,self lose challange
369,"smart 2: 0, 0.6",3,win challange
370,"smart 2: 0, 0.4",1,turned flower
371,"smart 2: 0, 0.4",1,win challange
372,"smart 2: 0, 0.4",1,turned flower
373,"smart 2: 0, 0.4",1,turned flower
374,"smart 2: 0, 0.4",1,turned flower
375,"smart 2: 0, 0.4",1,turned flower
376,"smart 2: 0, 0.4",1,lose challange
377,approx q learning,0,turned flower
378,approx q learning,0,turned flower
379,approx q learning,0,turned flower
380,approx q learning,0,lose challange
381,approx q learning,0,turned flower
382,approx q learning,0,turned flower
383,approx q learning,0,lose challange
384,"smart 2: 0, 0.6",3,self lose challange
385,approx q learning,0,turned flower
386,approx q learning,0,turned flower
387,approx q learning,0,lose challange
388,approx q learning,0,turned flower
389,approx q learning,0,turned flower
390,approx q learning,0,turned flower
391,approx q learning,0,win challange
392,approx q learning,0,turned flower
393,approx q learning,0,turned flower
394,approx q learning,0,lose game
395,"smart 2: 2, 0.6",2,self lose challange
396,"smart 2: 2, 0.6",2,self lose challange
397,"smart 2: 0, 0.4",1,turned flower
398,"smart 2: 0, 0.4",1,turned flower
399,"smart 2: 0, 0.4",1,lose challange
400,"smart 2: 0, 0.6",3,self lose challange
401,"smart 2: 0, 0.6",3,self lose challange
402,"smart 2: 0, 0.4",1,turned flower
403,"smart 2: 0, 0.4",1,win challange
404,"smart 2: 2, 0.6",2,self lose challange
405,"smart 2: 0, 0.6",3,turned flower
406,"smart 2: 0, 0.6",3,win challange
407,"smart 2: 0, 0.4",1,turned flower
408,"smart 2: 0, 0.4",1,win challange
409,approx q learning,0,turned flower
410,approx q learning,0,self lose challange
411,"smart 2: 0, 0.4",1,turned flower
412,"smart 2: 0, 0.4",1,lose challange
413,approx q learning,0,turned flower
414,approx q learning,0,lose challange
415,approx q learning,0,self lose challange
416,approx q learning,0,turned flower
417,approx q learning,0,turned flower
418,approx q learning,0,lose game
419,"smart 2: 0, 0.4",1,turned flower
420,"smart 2: 0, 0.4",1,lose challange
421,"smart 2: 0, 0.6",3,turned flower
422,"smart 2: 0, 0.6",3,self lose challange
423,"smart 2: 0, 0.4",1,turned flower
424,"smart 2: 0, 0.4",1,turned flower
425,"smart 2: 0, 0.4",1,turned flower
426,"smart 2: 0, 0.4",1,win challange
427,"smart 2: 0, 0.6",3,turned flower
428,"smart 2: 0, 0.6",3,turned flower
429,"smart 2: 0, 0.6",3,win challange
430,"smart 2: 0, 0.6",3,turned flower
431,"smart 2: 0, 0.6",3,lose challange
432,"smart 2: 0, 0.6",3,turned flower
433,"smart 2: 0, 0.6",3,lose challange
434,"smart 2: 2, 0.6",2,turned flower
435,"smart 2: 2, 0.6",2,turned flower
436,"smart 2: 2, 0.6",2,win challange
437,"smart 2: 0, 0.4",1,turned flower
438,"smart 2: 0, 0.4",1,lose challange
439,"smart 2: 2, 0.6",2,turned flower
440,"smart 2: 2, 0.6",2,win challange
441,approx q learning,0,turned flower
442,approx q learning,0,lose challange
443,"smart 2: 2, 0.6",2,self lose challange
444,"smart 2: 2, 0.6",2,turned flower
445,"smart 2: 2, 0.6",2,self lose challange
446,"smart 2: 0, 0.4",1,self lose challange
447,approx q learning,0,self lose challange
448,"smart 2: 0, 0.6",3,turned flower
449,"smart 2: 0, 0.6",3,lose challange
450,approx q learning,0,self lose challange
451,"smart 2: 0, 0.6",3,turned flower
452,"smart 2: 0, 0.6",3,lose challange
453,approx q learning,0,turned flower
454,approx q learning,0,win challange
455,approx q learning,0,turned flower
456,approx q learning,0,lose game
457,"smart 2: 0, 0.4",1,turned flower
458,"smart 2: 0, 0.4",1,self lose challange
459,"smart 2: 0, 0.6",3,self lose challange
460,"smart 2: 2, 0.6",2,turned flower
461,"smart 2: 2, 0.6",2,turned flower
462,"smart 2: 2, 0.6",2,win challange
463,"smart 2: 0, 0.4",1,turned flower
464,"smart 2: 0, 0.4",1,turned flower
465,"smart 2: 0, 0.4",1,win challange
466,"smart 2: 0, 0.4",1,self lose challange
467,"smart 2: 2, 0.6",2,turned flower
468,"smart 2: 2, 0.6",2,win challange
469,"smart 2: 0, 0.6",3,self lose challange
470,"smart 2: 2, 0.6",2,self lose challange
471,"smart 2: 0, 0.4",1,self lose challange
472,approx q learning,0,turned flower
473,approx q learning,0,turned flower
474,approx q learning,0,turned flower
475,approx q learning,0,lose challange
476,approx q learning,0,turned flower
477,approx q learning,0,turned flower
478,approx q learning,0,lose challange
479,"smart 2: 0, 0.4",1,self lose challange
480,approx q learning,0,self lose challange
481,"smart 2: 0, 0.4",1,self lose challange
482,approx q learning,0,turned flower
483,approx q learning,0,turned flower
484,approx q learning,0,lose game
485,"smart 2: 0, 0.6",3,self lose challange
486,"smart 2: 0, 0.4",1,turned flower
487,"smart 2: 0, 0.4",1,turned flower
488,"smart 2: 0, 0.4",1,lose game
489,"smart 2: 2, 0.6",2,turned flower
490,"smart 2: 2, 0.6",2,win challange
491,"smart 2: 2, 0.6",2,self lose challange
492,"smart 2: 2, 0.6",2,win challange
493,approx q learning,0,turned flower
494,approx q learning,0,lose challange
495,approx q learning,0,turned flower
496,approx q learning,0,lose challange
497,approx q learning,0,turned flower
498,approx q learning,0,turned flower
499,approx q learning,0,turned flower
500,approx q learning,0,lose challange
501,"smart 2: 0, 0.6",3,turned flower
502,"smart 2: 0, 0.6",3,turned flower
503,"smart 2: 0, 0.6",3,turned flower
504,"smart 2: 0, 0.6",3,lose challange
505,approx q learning,0,turned flower
506,approx q learning,0,lose game
507,"smart 2: 0, 0.4",1,self lose challange
508,"smart 2: 0, 0.6",3,turned flower
509,"smart 2: 0, 0.6",3,lose challange
510,"smart 2: 0, 0.4",1,turned flower
511,"smart 2: 0, 0.4",1,self lose challange
512,"smart 2: 0, 0.4",1,turned flower
513,"smart 2: 0, 0.4",1,self lose challange
514,"smart 2: 0, 0.4",1,turned flower
515,"smart 2: 0, 0.4",1,turned flower
516,"smart 2: 0, 0.4",1,win challange
517,"smart 2: 0, 0.4",1,turned flower
518,"smart 2: 0, 0.4",1,lose game
519,"smart 2: 0, 0.6",3,turned flower
520,"smart 2: 0, 0.6",3,win challange
521,"smart 2: 2, 0.6",2,turned flower
522,"smart 2: 2, 0.6",2,win challange
523,"smart 2: 0, 0.6",3,turned flower
524,"smart 2: 0, 0.6",3,turned flower
525,"smart 2: 0, 0.6",3,win challange
526,approx q learning,0,turned flower
527,approx q learning,0,lose challange
528,"smart 2: 0, 0.6",3,self lose challange
529,approx q learning,0,turned flower
530,approx q learning,0,lose challange
531,"smart 2: 0, 0.4",1,self lose challange
532,approx q learning,0,turned flower
533,approx q learning,0,lose challange
534,approx q learning,0,turned flower
535,approx q learning,0,lose game
536,"smart 2: 0, 0.6",3,turned flower
537,"smart 2: 0, 0.6",3,win challange
538,"smart 2: 2, 0.6",2,self lose challange
539,"smart 2: 0, 0.4",1,self lose challange
540,"smart 2: 2, 0.6",2,turned flower
541,"smart 2: 2, 0.6",2,self lose challange
542,"smart 2: 0, 0.6",3,turned flower
543,"smart 2: 0, 0.6",3,win challange
544,"smart 2: 0, 0.4",1,self lose challange
545,approx q learning,0,self lose challange
546,approx q learning,0,turned flower
547,approx q learning,0,turned flower
548,approx q learning,0,turned flower
549,approx q learning,0,lose challange
550,approx q learning,0,turned flower
551,approx q learning,0,turned flower
552,approx q learning,0,turned flower
553,approx q learning,0,lose challange
554,"smart 2: 0, 0.4",1,self lose challange
555,approx q learning,0,self lose game
556,"smart 2: 2, 0.6",2,turned flower
557,"smart 2: 2, 0.6",2,turned flower
558,"smart 2: 2, 0.6",2,turned flower
559,"smart 2: 2, 0.6",2,lose challange
560,"smart 2: 2, 0.6",2,turned flower
561,"smart 2: 2, 0.6",2,turned flower
562,"smart 2: 2, 0.6",2,lose challange
563,"smart 2: 0, 0.6",3,self lose challange
564,"smart 2: 2, 0.6",2,turned flower
565,"smart 2: 2, 0.6",2,lose challange
566,"smart 2: 0, 0.6",3,self lose challange
567,"smart 2: 0, 0.4",1,turned flower
568,"smart 2: 0, 0.4",1,win challange
569,"smart 2: 0, 0.4",1,self lose challange
570,"smart 2: 0, 0.6",3,self lose challange
571,"smart 2: 0, 0.4",1,turned flower
572,"smart 2: 0, 0.4",1,win challange
573,approx q learning,0,self lose challange
574,approx q learning,0,self lose challange
575,approx q learning,0,self lose challange
576,"smart 2: 0, 0.6",3,self lose challange
577,"smart 2: 0, 0.4",1,turned flower
578,"smart 2: 0, 0.4",1,turned flower
579,"smart 2: 0, 0.4",1,lose challange
580,"smart 2: 0, 0.4",1,self lose challange
581,"smart 2: 0, 0.4",1,self lose challange
582,approx q learning,0,turned flower
583,approx q learning,0,turned flower
584,approx q learning,0,turned flower
585,approx q learning,0,lose game
586,"smart 2: 0, 0.4",1,turned flower
587,"smart 2: 0, 0.4",1,turned flower
588,"smart 2: 0, 0.4",1,lose game
589,"smart 2: 0, 0.6",3,turned flower
590,"smart 2: 0, 0.6",3,win challange
591,"smart 2: 0, 0.6",3,turned flower
592,"smart 2: 0, 0.6",3,self lose challange
593,"smart 2: 0, 0.6",3,turned flower
594,"smart 2: 0, 0.6",3,self lose challange
595,"smart 2: 0, 0.6",3,win challange
596,"smart 2: 0, 0.4",1,self lose challange
597,"smart 2: 0, 0.4",1,self lose challange
598,approx q learning,0,self lose challange
599,"smart 2: 0, 0.6",3,self lose challange
600,approx q learning,0,turned flower
601,approx q learning,0,lose challange
602,"smart 2: 0, 0.4",1,turned flower
603,"smart 2: 0, 0.4",1,turned flower
604,"smart 2: 0, 0.4",1,turned flower
605,"smart 2: 0, 0.4",1,lose challange
606,approx q learning,0,self lose challange
607,approx q learning,0,turned flower
608,approx q learning,0,turned flower
609,approx q learning,0,win challange
610,approx q learning,0,turned flower
611,approx q learning,0,turned flower
612,approx q learning,0,lose game
613,"smart 2: 2, 0.6",2,self lose challange
614,"smart 2: 0, 0.6",3,turned flower
615,"smart 2: 0, 0.6",3,lose challange
616,"smart 2: 2, 0.6",2,turned flower
617,"smart 2: 2, 0.6",2,turned flower
618,"smart 2: 2, 0.6",2,win challange
619,"smart 2: 2, 0.6",2,self lose challange
620,"smart 2: 0, 0.4",1,turned flower
621,"smart 2: 0, 0.4",1,turned flower
622,"smart 2: 0, 0.4",1,win challange
623,"smart 2: 0, 0.4",1,turned flower
624,"smart 2: 0, 0.4",1,turned flower
