,player_type,player,result
122,"smart 2: 2, 0.6",2,win via score
123,"smart 2: 0, 0.4",1,win via score
124,approx q learning,0,win via score
125,"smart 2: 0, 0.4",1,win via score
126,"smart 2: 0, 0.4",1,win via score
127,"smart 2: 0, 0.6",3,win via score
128,"smart 2: 2, 0.6",2,win via score
129,approx q learning,0,win via score
130,"smart 2: 0, 0.6",3,win via score
131,"smart 2: 2, 0.6",2,win via score
132,"smart 2: 2, 0.6",2,win via score
133,"smart 2: 0, 0.6",3,win via score
134,"smart 2: 0, 0.4",1,win via score
135,"smart 2: 0, 0.6",3,win via score
136,"smart 2: 0, 0.4",1,win via score
137,approx q learning,0,win via score
138,"smart 2: 0, 0.6",3,win via score
139,"smart 2: 2, 0.6",2,win via score
140,"smart 2: 2, 0.6",2,win via score
141,approx q learning,0,win via score
142,"smart 2: 0, 0.6",3,win via score
143,"smart 2: 2, 0.6",2,win via score
144,"smart 2: 2, 0.6",2,win via score
145,"smart 2: 2, 0.6",2,win via score
146,"smart 2: 0, 0.6",3,win via score
147,"smart 2: 2, 0.6",2,win via score
148,"smart 2: 0, 0.6",3,win via score
149,"smart 2: 0, 0.4",1,win via score
150,"smart 2: 0, 0.6",3,win via score
151,"smart 2: 0, 0.6",3,win via score
152,"smart 2: 0, 0.4",1,win via score
153,"smart 2: 0, 0.6",3,win via score
154,"smart 2: 0, 0.4",1,win via score
155,"smart 2: 2, 0.6",2,win via score
156,"smart 2: 0, 0.6",3,win via score
157,"smart 2: 0, 0.6",3,win via score
158,"smart 2: 0, 0.6",3,win via elim
159,"smart 2: 2, 0.6",2,win via elim
160,"smart 2: 0, 0.6",3,win via score
161,"smart 2: 2, 0.6",2,win via score
162,"smart 2: 0, 0.4",1,win via score
163,approx q learning,0,win via score
164,"smart 2: 0, 0.6",3,win via score
165,"smart 2: 2, 0.6",2,win via score
166,"smart 2: 0, 0.6",3,win via elim
167,"smart 2: 2, 0.6",2,win via elim
